ID,Character_Name,Real_Name,Publisher,Alignment,Gender,Species,Hair_Color,Eye_Color,Skin_Tone,Height_Class,Exact_Height_cm,Primary_Power_Type,Key_Powers_and_Traits,Strength_Tier,Intelligence_Tier,Signature_Weapon_Gear
1,Spider-Man,Peter Parker,Marvel,Good,Male,Human Mutate,Brown,Hazel,Fair,Average,178,Physical,"Wall-crawling, Spider-Sense, Superhuman agility",Superhuman,Genius,Web-Shooters
2,Iron Man,Tony Stark,Marvel,Good,Male,Human,Black,Blue,Fair,Average,185,Tech/Gadgets,"Powered exoskeleton, Flight, Repulsor blasts",Incalculable,Super-Genius,Iron Man Armor
3,Captain America,Steve Rogers,Marvel,Good,Male,Human Mutate,Blond,Blue,Fair,Average,188,Physical,"Peak human physical condition, Accelerated healing",Enhanced,Gifted,Vibranium Shield
4,Thor,Thor Odinson,Marvel,Good,Male,Asgardian,Blond,Blue,Fair,Massive,201,Energy Projection,"Weather manipulation, Divine physiology, Flight",Cosmic/Godlike,Gifted,Mjolnir
5,Hulk,Bruce Banner,Marvel,Neutral,Male,Human Mutate,Green,Green,Green,Massive,244,Physical,"Rage-based unlimited strength, Extreme regeneration",Incalculable,Super-Genius,None
6,Black Widow,Natasha Romanoff,Marvel,Good,Female,Human Mutate,Red,Green,Fair,Short,170,Martial Arts,"Master martial artist, Espionage, Slowed aging",Enhanced,Gifted,Widow's Bite
7,Hawkeye,Clint Barton,Marvel,Good,Male,Human,Blond,Blue,Fair,Average,191,Martial Arts,"Master archer, Trick arrows, Master marksman",Street,Average,Custom Recurve Bow
8,Wolverine,"Logan / James Howlett",Marvel,Good,Male,Mutant,Black,Dark Brown,Fair,Short,160,Physical,"Adamantium skeleton/claws, Regenerative healing",Enhanced,Gifted,Adamantium Claws
9,Deadpool,Wade Wilson,Marvel,Neutral,Male,Human Mutate,Bald,Brown,Scarred,Average,188,Physical,"Accelerated healing factor, Fourth-wall breaking",Superhuman,Average,Twin Katanas
10,Doctor Strange,Stephen Strange,Marvel,Good,Male,Human,"Black/White",Grey,Fair,Average,188,Magic/Mystic,"Sorcery, Dimensional travel, Reality manipulation",Street,Super-Genius,Eye of Agamotto
11,Black Panther,T'Challa,Marvel,Good,Male,Human Mutate,Black,Brown,Dark,Average,183,Physical,"Enhanced senses, Vibranium suit, Martial mastery",Superhuman,Super-Genius,Vibranium Habit
12,Captain Marvel,Carol Danvers,Marvel,Good,Female,"Human/Kree",Blond,Blue,Fair,Average,180,Energy Projection,"Photon blasts, Energy absorption, Cosmic flight",Incalculable,Gifted,None
13,Scarlet Witch,Wanda Maximoff,Marvel,Neutral,Female,Human Mutate,Auburn,Green,Fair,Short,170,Reality Warping,"Chaos magic, Probability alteration, Telekinesis",Street,Gifted,None
14,Vision,Vision,Marvel,Good,Male,Synthezoid,Bald,Gold,Red,Tall,191,Energy Projection,"Density manipulation, Solar beam, Intangibility",Incalculable,Super-Genius,Solar Gem
15,Ant-Man,Scott Lang,Marvel,Good,Male,Human,Brown,Blue,Fair,Average,183,Tech/Gadgets,"Size alteration, Insect telepathy",Superhuman,Gifted,Pym Particles Suit
16,Wasp,Janet van Dyne,Marvel,Good,Female,Human Mutate,Auburn,Blue,Fair,Short,163,Energy Projection,"Bio-electric stingers, Size alteration, Flight",Enhanced,Gifted,Wasp Wings
17,Daredevil,Matt Murdock,Marvel,Good,Male,Human Mutate,Red,Blue,Fair,Average,183,Physical,"Radar sense, Superhuman senses, Master acrobat",Street,Gifted,Billy Club
18,Punisher,Frank Castle,Marvel,Neutral,Male,Human,Black,Blue,Fair,Average,185,Martial Arts,"Master tactician, Lethal weapons mastery",Street,Gifted,Custom Arsenal
19,Magneto,Max Eisenhardt,Marvel,Neutral,Male,Mutant,White,Blue,Fair,Average,188,Energy Projection,"Electromagnetism manipulation, Metal control",Street,Super-Genius,Magnetic Helmet
20,Professor X,Charles Xavier,Marvel,Good,Male,Mutant,Bald,Blue,Fair,Average,183,Psionic,"Alpha-level telepathy, Mind control, Astral projection",Street,Super-Genius,Cerebro
21,Cyclops,Scott Summers,Marvel,Good,Male,Mutant,Brown,Brown,Fair,Tall,191,Energy Projection,"Optic force blasts, Spatial geometry mastery",Street,Gifted,Ruby-Quartz Visor
22,Jean Grey,Jean Grey,Marvel,Good,Female,Mutant,Red,Green,Fair,Short,168,Psionic,"Telekinesis, Omega-level telepathy, Phoenix Force",Cosmic/Godlike,Gifted,None
23,Storm,Ororo Munroe,Marvel,Good,Female,Mutant,White,Blue,Dark,Average,180,Energy Projection,"Atmospheric control, Flight, Lightning generation",Street,Gifted,None
24,Rogue,Anna Marie LeBeau,Marvel,Good,Female,Mutant,"Brown/White",Green,Fair,Short,173,Physical,"Power absorption, Flight, Super strength",Incalculable,Average,None
25,Gambit,Remy LeBeau,Marvel,Good,Male,Mutant,Brown,Red-on-Black,Fair,Average,185,Energy Projection,"Kinetic energy charging, Enhanced agility",Street,Average,Bo Staff & Cards
26,Colossus,Piotr Rasputin,Marvel,Good,Male,Mutant,Black,Blue,Metal,Massive,226,Physical,"Organic steel transformation, Immense durability",Incalculable,Average,None
27,Nightcrawler,Kurt Wagner,Marvel,Good,Male,Mutant,Navy Blue,Yellow,Blue,Short,175,Physical,"Line-of-sight teleportation, Prehensile tail",Street,Average,Twin Rapiers
28,Emma Frost,Emma Frost,Marvel,Neutral,Female,Mutant,Blond,Blue,Fair,Average,178,Psionic,"Omega-class telepathy, Organic diamond form",Incalculable,Super-Genius,None
29,Beast,Hank McCoy,Marvel,Good,Male,Mutant,Blue,Blue,Blue,Short,180,Physical,"Superhuman agility, Blue fur, Hyper-intellect",Superhuman,Super-Genius,None
30,Iceman,Bobby Drake,Marvel,Good,Male,Mutant,Brown,Brown,Ice,Short,173,Energy Projection,"Thermal moisture control, Organic ice form",Incalculable,Gifted,None
31,Namor,Namor McKenzie,Marvel,Neutral,Male,"Mutant/Atlantean",Black,Grey,Fair,Average,188,Physical,"Aquatic adaptation, Flight via ankle wings, Strength",Incalculable,Gifted,Neptune's Trident
32,Silver Surfer,Norrin Radd,Marvel,Good,Male,Zenn-Lavian,Bald,Silver,Silver,Tall,193,Cosmic,"Power Cosmic manipulation, Faster-than-light flight",Cosmic/Godlike,Super-Genius,Cosmic Surfboard
33,Thanos,Thanos,Marvel,Bad,Male,"Eternal/Deviant",Bald,Red,Purple,Massive,201,Cosmic,"Cosmic energy projection, Godlike durability",Cosmic/Godlike,Super-Genius,Infinity Gauntlet
34,Loki,Loki Laufeyson,Marvel,Neutral,Male,Frost Giant,Black,Green,Fair,Tall,193,Magic/Mystic,"Illusion casting, Shapeshifting, Sorcery",Superhuman,Super-Genius,Scepter
35,Doctor Doom,Victor Von Doom,Marvel,Bad,Male,Human,Brown,Brown,Scarred,Average,188,Magic/Mystic,"Sorcery, Technopathy, Genius intellect",Incalculable,Super-Genius,Titanium Armor
